Tipologia_API;Zona;Data;Valore
sessionUploadTraffic;OWM Zona6;2022-04-22 00:00:00+02:00;3601757599.0
sessionUploadTraffic;OWM Zona5;2022-04-22 00:00:00+02:00;917879069.0
sessionUploadTraffic;OWM Zona4;2022-04-22 00:00:00+02:00;258736622.0
sessionUploadTraffic;OWM Zona3;2022-04-22 00:00:00+02:00;814198619.0
sessionUploadTraffic;OWM Zona2;2022-04-22 00:00:00+02:00;286574191.0
sessionUploadTraffic;OWM Zona1;2022-04-22 00:00:00+02:00;832383771.0
sessionUploadTraffic;OWM Zona9;2022-04-21 00:00:00+02:00;546844055.0
sessionUploadTraffic;OWM Zona8;2022-04-21 00:00:00+02:00;610884715.0
sessionUploadTraffic;OWM Zona7;2022-04-21 00:00:00+02:00;583227707.0
sessionUploadTraffic;OWM Zona6;2022-04-21 00:00:00+02:00;2493929900.0
sessionUploadTraffic;OWM Zona5;2022-04-21 00:00:00+02:00;419157717.0
sessionUploadTraffic;OWM Zona4;2022-04-21 00:00:00+02:00;846071472.0
sessionUploadTraffic;OWM Zona3;2022-04-21 00:00:00+02:00;698113954.0
sessionUploadTraffic;OWM Zona2;2022-04-21 00:00:00+02:00;242044514.0
sessionUploadTraffic;OWM Zona1;2022-04-21 00:00:00+02:00;565943655.0
sessionUploadTraffic;OWM Zona9;2022-04-20 00:00:00+02:00;316301287.0
sessionUploadTraffic;OWM Zona8;2022-04-20 00:00:00+02:00;800239413.0
sessionUploadTraffic;OWM Zona7;2022-04-20 00:00:00+02:00;392839003.0
sessionUploadTraffic;OWM Zona6;2022-04-20 00:00:00+02:00;2113378693.0
sessionUploadTraffic;OWM Zona5;2022-04-20 00:00:00+02:00;261564375.0
sessionUploadTraffic;OWM Zona4;2022-04-20 00:00:00+02:00;336798221.0
sessionUploadTraffic;OWM Zona3;2022-04-20 00:00:00+02:00;837711925.0
sessionUploadTraffic;OWM Zona2;2022-04-20 00:00:00+02:00;211860773.0
sessionUploadTraffic;OWM Zona1;2022-04-20 00:00:00+02:00;775406008.0
sessionUploadTraffic;OWM Zona9;2022-04-19 00:00:00+02:00;416649454.0
sessionUploadTraffic;OWM Zona8;2022-04-19 00:00:00+02:00;339491052.0
sessionUploadTraffic;OWM Zona7;2022-04-19 00:00:00+02:00;489629487.0
sessionUploadTraffic;OWM Zona6;2022-04-19 00:00:00+02:00;2640270322.0
sessionUploadTraffic;OWM Zona5;2022-04-19 00:00:00+02:00;407956117.0
sessionUploadTraffic;OWM Zona4;2022-04-19 00:00:00+02:00;399981970.0
sessionUploadTraffic;OWM Zona3;2022-04-19 00:00:00+02:00;818526681.0
sessionUploadTraffic;OWM Zona2;2022-04-19 00:00:00+02:00;209132989.0
sessionUploadTraffic;OWM Zona1;2022-04-19 00:00:00+02:00;1237357787.0
sessionUploadTraffic;OWM Zona9;2022-04-18 00:00:00+02:00;682682920.0
sessionUploadTraffic;OWM Zona8;2022-04-18 00:00:00+02:00;704755556.0
sessionUploadTraffic;OWM Zona7;2022-04-18 00:00:00+02:00;583140889.0
sessionUploadTraffic;OWM Zona6;2022-04-18 00:00:00+02:00;2327341241.0
sessionUploadTraffic;OWM Zona5;2022-04-18 00:00:00+02:00;309020268.0
sessionUploadTraffic;OWM Zona4;2022-04-18 00:00:00+02:00;244924929.0
sessionUploadTraffic;OWM Zona3;2022-04-18 00:00:00+02:00;407311616.0
sessionUploadTraffic;OWM Zona2;2022-04-18 00:00:00+02:00;169319192.0
sessionUploadTraffic;OWM Zona1;2022-04-18 00:00:00+02:00;1425024896.0
sessionUploadTraffic;OWM Zona9;2022-04-17 00:00:00+02:00;975090988.0
sessionUploadTraffic;OWM Zona8;2022-04-17 00:00:00+02:00;593860456.0
sessionUploadTraffic;OWM Zona7;2022-04-17 00:00:00+02:00;250356961.0
sessionUploadTraffic;OWM Zona6;2022-04-17 00:00:00+02:00;3117454161.0
sessionUploadTraffic;OWM Zona5;2022-04-17 00:00:00+02:00;270072751.0
sessionUploadTraffic;OWM Zona4;2022-04-17 00:00:00+02:00;253425988.0
sessionUploadTraffic;OWM Zona3;2022-04-17 00:00:00+02:00;253232117.0
sessionUploadTraffic;OWM Zona2;2022-04-17 00:00:00+02:00;347361249.0
sessionUploadTraffic;OWM Zona1;2022-04-17 00:00:00+02:00;504341338.0
sessionUploadTraffic;OWM Zona9;2022-04-16 00:00:00+02:00;544555808.0
sessionUploadTraffic;OWM Zona8;2022-04-16 00:00:00+02:00;2410798226.0
sessionUploadTraffic;OWM Zona7;2022-04-16 00:00:00+02:00;688122903.0
sessionUploadTraffic;OWM Zona6;2022-04-16 00:00:00+02:00;2571596153.0
sessionUploadTraffic;OWM Zona5;2022-04-16 00:00:00+02:00;404189181.0
sessionUploadTraffic;OWM Zona4;2022-04-16 00:00:00+02:00;631500404.0
sessionUploadTraffic;OWM Zona3;2022-04-16 00:00:00+02:00;551240352.0
sessionUploadTraffic;OWM Zona2;2022-04-16 00:00:00+02:00;403445677.0
sessionUploadTraffic;OWM Zona1;2022-04-16 00:00:00+02:00;1151434144.0
sessionUploadTraffic;OWM Zona9;2022-04-15 00:00:00+02:00;1302815066.0
sessionUploadTraffic;OWM Zona8;2022-04-15 00:00:00+02:00;754753420.0
sessionUploadTraffic;OWM Zona7;2022-04-15 00:00:00+02:00;561749344.0
sessionUploadTraffic;OWM Zona6;2022-04-15 00:00:00+02:00;2673560426.0
sessionUploadTraffic;OWM Zona5;2022-04-15 00:00:00+02:00;528896316.0
